item,name,authorization_notice_id,authorized_announcement_date,filing_id,filing_date,patentee,designer,address,Int.Cl.
6378,DTU线损终端电流自动压接结构,CN209088250U,2019.07.09,2.02E+12,2018.12.19,天津中科绿建节能技术服务有限公司,郭佳,300450天津市滨海新区华苑产业区华天道3号综合楼A区516单元（入驻创新服务公司）,H01R43/05(2006.01)I
6379,一种Bias-Tee装置,CN209088042U,2019.07.09,2.02E+12,2018.12.18,合肥本源量子计算科技有限责任公司,赵泽方;??李松,230008安徽省合肥市合肥市高新区创业产业园二期E2栋6层,H01P1/213(2006.01)I
6380,一种反射型偏振增亮片,CN209086607U,2019.07.09,2.02E+12,2018.12.19,深圳前海锦泽实业有限公司,刘春兰,518000广东省深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）,G02F1/1335(2006.01)I;??G02F1/13357(2006.01)I  
6381,光伏组件,CN209087882U,2019.07.09,2.02E+12,2018.12.19,苏州阿特斯阳光能源科技有限公司;,陆法晔;,215129江苏省苏州市苏州高新区鹿山路348号,H01L31/054(2014.01)I
6382,一种全自动洗车机用可拼接式束线装置,CN209088440U,2019.07.09,2.02E+12,2018.12.19,合肥荣尚电子电器有限责任公司,高奎;??赵明,231100安徽省合肥市长丰双凤经济开发区荣事达第六工业园,H02G3/02(2006.01)I;??B60S3/04(2006.01)I
6383,船用喇叭,CN209089221U,2019.07.09,2.02E+12,2018.12.19,嘉兴市迪贝斯电声有限公司,顾火根,314000浙江省嘉兴市南湖区周安路1515号,H04R9/02(2006.01)I;??H04R9/06(2006.01)I
6384,一种新型耐火电缆,CN209087452U,2019.07.09,201822135746X,2018.12.19,嘉兴海棠电子有限公司,姚戌辰,314300浙江省嘉兴市海盐县武原街道盐东村,H01B9/02(2006.01)I;
6385,一种用于配电自动化终端的DTU柜体,CN209088313U,2019.07.09,2.02E+12,2018.12.19,天津中科绿建节能技术服务有限公司,郭佳,300450天津市滨海新区华苑产业区华天道3号综合楼A区516单元（入驻创新服务公司）,H02B1/30(2006.01)I;??H02B1/20(2006.01)I
6386,一种PROFIBUSDP总线系统电路,CN209086919U,2019.07.09,2.02E+12,2018.12.19,博森泰克（北京）科技有限公司,王鹏,100102北京市朝阳区阜通东大街6号院2号楼6层702,G06F13/42(2006.01)I;??H04L12/40(2006.01)I
6387,一种新型接线板,CN209088135U,2019.07.09,2.02E+12,2018.12.19,陕西启阳机电有限公司,唐军,710000陕西省西安市沣东新城阿房一路府东寨水塔北100米东侧院内,H01R13/502(2006.01)I;
