item,name,authorization_notice_id,authorized_announcement_date,filing_id,filing_date,patentee,designer,address,Int.Cl.
1,基于最短路径通过使用集成读取器和访问控制来图形地引导游客的系统和方法,CN102889890B,2019.07.09,2.01E+12,2012.07.17,霍尼韦尔国际公司,A.尚穆加孙达拉姆;??S.彭纳姆巴拉姆,美国新泽西州,G01C21/00(2006.01)I
2,一种标识分配方法及系统,CN102905253B,2019.07.09,2.01E+12,2011.07.27,中兴通讯股份有限公司,李楠;,518057广东省深圳市南山区高新技术产业园科技南路中兴通讯大厦法务部,H04W8/26(2009.01)I;??H04W84/12(2009.01)I
3,用于改善的器件集成的光刻胶剥离方法,CN102955381B,2019.07.09,2.01E+12,2012.08.27,诺发系统公司,罗伊·沙夫维;,美国加利福尼亚州,G03F7/42(2006.01)I;
4,服务器装置、检索系统及其检索方法,CN103020102B,2019.07.09,2.01E+12,2012.09.24,歌乐株式会社,本间健;,日本埼玉县,G06F16/68(2019.01)I;
5,一种有机电致发光器件及其制备方法,CN103187540B,2019.07.09,2.01E+12,2011.12.31,昆山维信诺显示技术有限公司;,邱勇;??刘宏俊;??高裕弟,215300江苏省苏州市昆山高新区晨丰路188号,H01L51/54(2006.01)I;??H01L51/56(2006.01)I
6,一种服务数据接入处理方法与装置,CN103198070B,2019.07.09,201210003670X,2012.01.06,北京四维图新科技股份有限公司,乔扬,100028北京市朝阳区曙光西里甲5号凤凰置地广场A座写字楼17层,G06F16/25(2019.01)I
7,着色剂、着色组合物、滤色器以及显示元件,CN103226289B,2019.07.09,2.01E+12,2013.01.21,JSR株式会社,米田英司;,日本东京都,G03F7/004(2006.01)I;
8,薄膜晶体管、显示单元和电子设备,CN103247692B,2019.07.09,2.01E+12,2013.01.25,株式会社日本有机雷特显示器,德永和彦;??荒井俊明,日本东京都,H01L29/786(2006.01)I;??H01L29/10(2006.01)I
9,业务签约信息处理方法及装置,CN103249030B,2019.07.09,2.01E+12,2012.02.02,中兴通讯股份有限公司,曹岚健;??余万涛,518057广东省深圳市南山区科技南路55号,H04W8/24(2009.01)I;??H04W12/06(2009.01)I
10,用于使半导体组合件中的焊料凸块自对准的双焊料半导体芯片、装置以及双焊料方法,CN103295991B,2019.07.09,2.01E+12,2013.03.04,德州仪器公司,马渡和明,美国德克萨斯州,H01L23/488(2006.01)I;??H01L21/60(2006.01)I
